NeighbourhoodCode,Year,Month,PropertyCrimesTotal,PropertyCrimesRelPop,PropertyCrimesRelCity,ViolentCrimesTotal,ViolentCrimesRelPop,ViolentCrimesRelCity,BurglariesTotal,BurglariesRelPop,BurglariesRelCity
Bavel,2017,3,13.0,0.3032,0.123,0.0,0.6065,3.1746,0.0,0.0,0.0
Bavel,2017,4,15.0,1.213,0.492,0.0,0.0,0.0,1.0,0.3032,1.4085
Bavel,2017,5,5.0,0.3032,0.123,3.0,0.0,0.0,0.0,0.0,0.0
Bavel,2017,6,9.0,44.8801,18.2042,0.0,4.5487,23.8095,5.0,1.5162,7.0423
Bavel,2017,7,9.0,7.2778,2.952,0.0,0.9097,4.7619,3.0,0.9097,4.2254
Bavel,2017,8,4.0,0.3032,0.123,1.0,0.0,0.0,0.0,0.0,0.0
Bavel,2017,9,15.0,1.8195,0.738,1.0,0.3032,1.5873,0.0,0.0,0.0
Bavel,2017,10,26.0,3.0324,1.23,0.0,0.0,0.0,1.0,0.3032,1.4085
Bavel,2017,11,15.0,2.7292,1.107,0.0,0.3032,1.5873,1.0,0.3032,1.4085
Bavel,2017,12,3.0,0.9097,0.369,2.0,0.0,0.0,2.0,0.6065,2.8169
Bavel,2018,1,17.0,2.4259,0.984,0.0,0.0,0.0,0.0,0.0,0.0
Bavel,2018,2,17.0,4.8519,1.968,0.0,0.0,0.0,2.0,0.6065,2.8169
Bavel,2018,3,5.0,0.9097,0.369,2.0,0.0,0.0,0.0,0.0,0.0
Bavel,2018,4,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bavel,2018,5,23.0,1.213,0.492,0.0,0.0,0.0,0.0,0.0,0.0
Bavel,2018,6,6.0,5.1551,2.091,0.0,0.0,0.0,2.0,0.6065,2.8169
Bavel,2018,7,11.0,2.1227,0.861,1.0,0.3032,1.5873,0.0,0.0,0.0
Bavel,2018,8,6.0,3.9422,1.599,0.0,0.0,0.0,1.0,0.3032,1.4085
Bavel,2018,9,8.0,9.0973,3.69,1.0,0.6065,3.1746,3.0,0.9097,4.2254
Bavel,2018,10,8.0,0.9097,0.369,1.0,0.0,0.0,1.0,0.3032,1.4085
Bavel,2018,11,21.0,1.8195,0.738,1.0,0.3032,1.5873,1.0,0.3032,1.4085
Bavel,2018,12,8.0,2.1227,0.861,0.0,0.0,0.0,2.0,0.6065,2.8169
Bavel,2019,1,3.0,2.4259,0.984,1.0,0.0,0.0,0.0,0.0,0.0
Bavel,2019,2,3.0,7.2778,2.952,0.0,0.3032,1.5873,5.0,1.5162,7.0423
Bavel,2019,3,14.0,0.6065,0.246,1.0,0.0,0.0,0.0,0.0,0.0
Bavel,2019,4,10.0,1.5162,0.615,0.0,0.0,0.0,1.0,0.3032,1.4085
Bavel,2019,5,8.0,1.213,0.492,0.0,0.0,0.0,1.0,0.3032,1.4085
Bavel,2019,6,7.0,2.7292,1.107,0.0,0.6065,3.1746,3.0,0.9097,4.2254
Bavel,2019,7,4.0,3.0324,1.23,1.0,0.0,0.0,1.0,0.3032,1.4085
Bavel,2019,8,10.0,0.6065,0.246,1.0,0.0,0.0,0.0,0.0,0.0
Bavel,2019,9,5.0,2.7292,1.107,0.0,0.3032,1.5873,0.0,0.0,0.0
Bavel,2019,10,18.0,10.3103,4.182,0.0,0.6065,3.1746,6.0,1.8195,8.4507
Bavel,2019,11,7.0,13.3427,5.4121,0.0,1.8195,9.5238,7.0,2.1227,9.8592
Bavel,2019,12,6.0,1.8195,0.738,0.0,0.3032,1.5873,0.0,0.0,0.0
Bavel,2020,1,4.0,8.1876,3.321,0.0,1.213,6.3492,1.0,0.3032,1.4085
Bavel,2020,2,11.0,3.9422,1.599,2.0,0.6065,3.1746,0.0,0.0,0.0
Bavel,2020,3,2.0,6.3681,2.583,0.0,2.1227,11.1111,0.0,0.0,0.0
Bavel,2020,4,0.0,1.5162,0.615,1.0,0.3032,1.5873,0.0,0.0,0.0
Bavel,2020,5,5.0,14.2525,5.7811,1.0,0.0,0.0,1.0,0.3032,1.4085
Bavel,2020,6,2.0,8.1876,3.321,0.0,0.9097,4.7619,2.0,0.6065,2.8169
Bavel,2020,7,9.0,2.1227,0.861,2.0,0.0,0.0,0.0,0.0,0.0
Bavel,2020,8,3.0,3.0324,1.23,0.0,0.3032,1.5873,0.0,0.0,0.0
Bavel,2020,9,8.0,0.3032,0.123,0.0,0.0,0.0,0.0,0.0,0.0
Bavel,2020,10,16.0,0.9097,0.369,0.0,0.0,0.0,0.0,0.0,0.0
Bavel,2020,11,19.0,1.5162,0.615,1.0,0.3032,1.5873,0.0,0.0,0.0
Bavel,2020,12,12.0,3.0324,1.23,2.0,0.0,0.0,1.0,0.3032,1.4085
Bavel,2021,1,1.0,2.4259,0.984,0.0,0.0,0.0,0.0,0.0,0.0
Bavel,2021,2,8.0,4.5487,1.845,0.0,0.3032,1.5873,3.0,0.9097,4.2254
Bavel,2021,3,3.0,10.6135,4.6481,0.0,1.5162,7.0423,16.0,4.8519,17.5824
Bavel,2021,4,2.0,1.8195,0.7968,3.0,0.3032,1.4085,0.0,0.0,0.0
Bavel,2021,5,9.0,5.7616,2.5232,2.0,0.3032,1.4085,1.0,0.3032,1.0989
Bavel,2021,6,16.0,2.4259,1.0624,0.0,0.0,0.0,0.0,0.0,0.0
Bavel,2021,7,6.0,6.3681,2.7888,0.0,0.9097,4.2254,2.0,0.6065,2.1978
Bavel,2021,8,18.0,8.4908,3.7185,1.0,1.8195,8.4507,1.0,0.3032,1.0989
Bavel,2021,9,14.0,0.6065,0.2656,2.0,0.0,0.0,2.0,0.6065,2.1978
Bavel,2021,10,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Bavel,2021,11,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Bavel,2021,12,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bavel,2022,1,6.0,31.5373,13.8114,0.0,0.9097,4.2254,6.0,1.8195,6.5934
Bavel,2022,2,8.0,4.2454,1.8592,1.0,0.6065,2.8169,1.0,0.3032,1.0989
Bavel,2022,3,18.0,1.8195,0.7968,1.0,0.0,0.0,2.0,0.6065,2.1978
Bavel,2022,4,9.0,3.3357,1.4608,0.0,0.9097,4.2254,5.0,1.5162,5.4945
Bavel,2022,5,9.0,3.9422,1.7264,4.0,0.6065,2.8169,4.0,1.213,4.3956
Bavel,2022,6,4.0,2.7292,1.1952,1.0,0.0,0.0,0.0,0.0,0.0
Bavel,2022,7,3.0,2.1227,0.9296,0.0,0.3032,1.4085,3.0,0.9097,3.2967
